"week","Country","July2021","July2019","change"
1,"England (excl. Ldn)",8795,4023,118.617946805866
2,"England (excl. Ldn)",10293,6078,69.3484698914117
3,"England (excl. Ldn)",10994,6535,68.2325937260903
4,"England (excl. Ldn)",10375,6877,50.86520285008
5,"England (excl. Ldn)",10586,6199,70.7694789482175
6,"England (excl. Ldn)",11927,7502,58.9842708611037
7,"England (excl. Ldn)",9919,6664,48.8445378151261
8,"England (excl. Ldn)",11522,6798,69.4910267725802
9,"England (excl. Ldn)",12972,7085,83.091037402964
10,"England (excl. Ldn)",10923,7922,37.8818480181772
11,"England (excl. Ldn)",11319,7635,48.2514734774067
12,"England (excl. Ldn)",11468,7847,46.1450235758889
13,"England (excl. Ldn)",12470,8623,44.6132436507016
14,"England (excl. Ldn)",9732,7732,25.8665287118469
15,"England (excl. Ldn)",10730,8342,28.626228722129
16,"England (excl. Ldn)",9551,4808,98.6480865224625
17,"England (excl. Ldn)",10433,6949,50.1367103180314
18,"England (excl. Ldn)",9210,5644,63.1821403260099
19,"England (excl. Ldn)",10349,7385,40.1354096140826
20,"England (excl. Ldn)",12081,7755,55.7833655705996
21,"England (excl. Ldn)",9575,6250,53.2
22,"England (excl. Ldn)",8345,6726,24.0707701457032
23,"England (excl. Ldn)",9403,7033,33.6982795393147
24,"England (excl. Ldn)",8813,7218,22.0975339429205
25,"England (excl. Ldn)",9046,6732,34.3731431966726
26,"England (excl. Ldn)",9344,6691,39.6502764908085
27,"England (excl. Ldn)",8849,7642,15.7942946872546
28,"England (excl. Ldn)",8457,6970,21.3342898134864
29,"England (excl. Ldn)",8505,6450,31.8604651162791
1,"Northern Ireland",149,91,63.7362637362637
2,"Northern Ireland",195,110,77.2727272727273
3,"Northern Ireland",209,106,97.1698113207547
4,"Northern Ireland",158,104,51.9230769230769
5,"Northern Ireland",223,123,81.3008130081301
6,"Northern Ireland",233,141,65.2482269503546
7,"Northern Ireland",218,144,51.3888888888889
8,"Northern Ireland",235,141,66.6666666666667
9,"Northern Ireland",253,128,97.65625
10,"Northern Ireland",212,157,35.031847133758
11,"Northern Ireland",191,104,83.6538461538461
12,"Northern Ireland",251,150,67.3333333333333
13,"Northern Ireland",275,162,69.7530864197531
14,"Northern Ireland",160,171,-6.4327485380117
15,"Northern Ireland",281,157,78.9808917197452
16,"Northern Ireland",208,100,108
17,"Northern Ireland",180,122,47.5409836065574
18,"Northern Ireland",164,114,43.859649122807
19,"Northern Ireland",197,153,28.7581699346405
20,"Northern Ireland",195,156,25
21,"Northern Ireland",186,126,47.6190476190476
22,"Northern Ireland",150,146,2.73972602739727
23,"Northern Ireland",173,139,24.4604316546763
24,"Northern Ireland",176,128,37.5
25,"Northern Ireland",187,150,24.6666666666667
26,"Northern Ireland",149,123,21.1382113821138
27,"Northern Ireland",258,112,130.357142857143
28,"Northern Ireland",134,86,55.8139534883721
29,"Northern Ireland",165,178,-7.30337078651685
1,"Scotland",493,201,145.273631840796
2,"Scotland",719,471,52.6539278131635
3,"Scotland",660,446,47.9820627802691
4,"Scotland",733,447,63.9821029082774
5,"Scotland",764,466,63.9484978540773
6,"Scotland",779,514,51.556420233463
7,"Scotland",794,476,66.8067226890756
8,"Scotland",802,653,22.8177641653905
9,"Scotland",784,510,53.7254901960784
10,"Scotland",735,548,34.1240875912409
11,"Scotland",787,582,35.2233676975945
12,"Scotland",764,552,38.4057971014493
13,"Scotland",892,612,45.7516339869281
14,"Scotland",780,593,31.5345699831366
15,"Scotland",771,486,58.641975308642
16,"Scotland",745,354,110.45197740113
17,"Scotland",741,569,30.2284710017575
18,"Scotland",644,416,54.8076923076923
19,"Scotland",809,589,37.3514431239389
20,"Scotland",684,412,66.0194174757281
21,"Scotland",718,559,28.4436493738819
22,"Scotland",586,554,5.77617328519855
23,"Scotland",703,491,43.1771894093686
24,"Scotland",621,522,18.9655172413793
25,"Scotland",613,485,26.3917525773196
26,"Scotland",652,516,26.3565891472868
27,"Scotland",598,453,32.0088300220751
28,"Scotland",518,458,13.1004366812227
29,"Scotland",550,477,15.3039832285115
1,"Wales",599,246,143.49593495935
2,"Wales",687,415,65.5421686746988
3,"Wales",844,438,92.6940639269406
4,"Wales",733,454,61.4537444933921
5,"Wales",728,392,85.7142857142857
6,"Wales",775,492,57.520325203252
7,"Wales",702,443,58.4650112866817
8,"Wales",838,413,102.905569007264
9,"Wales",789,470,67.8723404255319
10,"Wales",683,568,20.2464788732394
11,"Wales",741,461,60.7375271149675
12,"Wales",805,554,45.3068592057762
13,"Wales",831,571,45.5341506129597
14,"Wales",642,526,22.0532319391635
15,"Wales",732,520,40.7692307692308
16,"Wales",636,281,126.334519572954
17,"Wales",676,434,55.7603686635945
18,"Wales",646,363,77.961432506887
19,"Wales",663,507,30.7692307692308
20,"Wales",767,478,60.4602510460251
21,"Wales",593,502,18.1274900398406
22,"Wales",463,442,4.75113122171946
23,"Wales",629,468,34.4017094017094
24,"Wales",662,442,49.7737556561086
25,"Wales",535,463,15.5507559395248
26,"Wales",625,478,30.7531380753138
27,"Wales",723,492,46.9512195121951
28,"Wales",618,418,47.8468899521531
29,"Wales",702,394,78.1725888324873
1,"London",3556,1105,221.809954751131
2,"London",4006,1677,138.878950506858
3,"London",4229,1721,145.729227193492
4,"London",4093,1823,124.520021941854
5,"London",4144,1658,149.939686369119
6,"London",4374,2021,116.427511133102
7,"London",3854,1758,119.226393629124
8,"London",4335,1742,148.851894374282
9,"London",4774,1899,151.395471300685
10,"London",4174,1979,110.914603335018
11,"London",4047,1885,114.694960212202
12,"London",4295,1994,115.396188565697
13,"London",4684,2296,104.006968641115
14,"London",3590,1964,82.7902240325866
15,"London",4388,2411,81.9991704686852
16,"London",4129,1291,219.829589465531
17,"London",4426,1964,125.356415478615
18,"London",3734,1588,135.138539042821
19,"London",4100,2122,93.2139491046183
20,"London",4776,2190,118.082191780822
21,"London",3736,1711,118.351841028638
22,"London",3522,1964,79.3279022403259
23,"London",3824,1948,96.3039014373717
24,"London",3447,2078,65.8806544754572
25,"London",3634,1834,98.1461286804798
26,"London",3792,1878,101.916932907348
27,"London",3499,2255,55.1662971175166
28,"London",3445,1964,75.4073319755601
29,"London",3406,1977,72.281234193222
