"week","Country","Dec2021","Dec2019","change"
1,"England (excl. Ldn)",8651,3847,124.876527164024
2,"England (excl. Ldn)",10128,5844,73.305954825462
3,"England (excl. Ldn)",10823,6257,72.9742688189228
4,"England (excl. Ldn)",10237,6601,55.0825632479927
5,"England (excl. Ldn)",10468,5897,77.5139901644904
6,"England (excl. Ldn)",11767,7087,66.0364046846338
7,"England (excl. Ldn)",9781,6301,55.2293286779876
8,"England (excl. Ldn)",11367,6378,78.2220131702728
9,"England (excl. Ldn)",12867,6701,92.0161169974631
10,"England (excl. Ldn)",10813,7498,44.2117898106162
11,"England (excl. Ldn)",11206,7201,55.6172753784197
12,"England (excl. Ldn)",11357,7296,55.6606359649123
13,"England (excl. Ldn)",12369,7724,60.1372345934749
14,"England (excl. Ldn)",9669,6981,38.504512247529
15,"England (excl. Ldn)",10710,7552,41.8167372881356
16,"England (excl. Ldn)",9464,4333,118.416801292407
17,"England (excl. Ldn)",10324,6189,66.8120859589594
18,"England (excl. Ldn)",9090,5051,79.9643634923777
19,"England (excl. Ldn)",10197,6450,58.093023255814
20,"England (excl. Ldn)",11948,6792,75.9128386336867
21,"England (excl. Ldn)",9486,5513,72.0660257573009
22,"England (excl. Ldn)",8230,5941,38.5288671940751
23,"England (excl. Ldn)",9341,6213,50.3460486077579
24,"England (excl. Ldn)",8774,6391,37.2868095759662
25,"England (excl. Ldn)",8946,6038,48.1616429281219
26,"England (excl. Ldn)",9204,6032,52.5862068965517
27,"England (excl. Ldn)",8855,6819,29.8577504032849
28,"England (excl. Ldn)",8402,6200,35.5161290322581
29,"England (excl. Ldn)",8455,5753,46.9667999304711
30,"England (excl. Ldn)",8935,6012,48.6194278110446
31,"England (excl. Ldn)",8566,5815,47.3086844368014
32,"England (excl. Ldn)",9143,6274,45.7284029327383
33,"England (excl. Ldn)",8274,6012,37.624750499002
34,"England (excl. Ldn)",9435,4892,92.8659035159444
35,"England (excl. Ldn)",8009,5370,49.1433891992551
36,"England (excl. Ldn)",9236,6363,45.1516580229452
37,"England (excl. Ldn)",10510,6757,55.5424004735829
38,"England (excl. Ldn)",9264,6623,39.8761890382002
39,"England (excl. Ldn)",10330,6388,61.7094552285535
40,"England (excl. Ldn)",9308,6959,33.7548498347464
41,"England (excl. Ldn)",9220,7244,27.2777471010492
42,"England (excl. Ldn)",10420,6369,63.6049615324227
43,"England (excl. Ldn)",9365,6554,42.8898382667074
44,"England (excl. Ldn)",9543,5822,63.9127447612504
45,"England (excl. Ldn)",10057,6074,65.574580177807
46,"England (excl. Ldn)",9780,6084,60.7495069033531
47,"England (excl. Ldn)",8814,6397,37.7833359387213
48,"England (excl. Ldn)",8642,6592,31.0983009708738
49,"England (excl. Ldn)",9309,6004,55.0466355762825
50,"England (excl. Ldn)",8637,5530,56.1844484629295
51,"England (excl. Ldn)",7969,6116,30.297580117724
52,"England (excl. Ldn)",4117,2036,102.21021611002
53,"England (excl. Ldn)",767,494,55.2631578947368
1,"Northern Ireland",142,90,57.7777777777778
2,"Northern Ireland",188,105,79.0476190476191
3,"Northern Ireland",200,101,98.019801980198
4,"Northern Ireland",144,100,44
5,"Northern Ireland",216,120,80
6,"Northern Ireland",226,134,68.6567164179104
7,"Northern Ireland",209,136,53.6764705882353
8,"Northern Ireland",231,137,68.6131386861314
9,"Northern Ireland",243,121,100.826446280992
10,"Northern Ireland",208,145,43.448275862069
11,"Northern Ireland",185,98,88.7755102040816
12,"Northern Ireland",247,142,73.943661971831
13,"Northern Ireland",268,149,79.8657718120805
14,"Northern Ireland",155,153,1.30718954248366
15,"Northern Ireland",273,143,90.9090909090909
16,"Northern Ireland",196,88,122.727272727273
17,"Northern Ireland",169,111,52.2522522522522
18,"Northern Ireland",160,103,55.3398058252427
19,"Northern Ireland",190,139,36.6906474820144
20,"Northern Ireland",191,139,37.410071942446
21,"Northern Ireland",183,113,61.9469026548673
22,"Northern Ireland",150,138,8.69565217391304
23,"Northern Ireland",170,126,34.9206349206349
24,"Northern Ireland",174,117,48.7179487179487
25,"Northern Ireland",184,137,34.3065693430657
26,"Northern Ireland",148,113,30.9734513274336
27,"Northern Ireland",256,94,172.340425531915
28,"Northern Ireland",133,77,72.7272727272727
29,"Northern Ireland",164,160,2.49999999999999
30,"Northern Ireland",155,132,17.4242424242424
31,"Northern Ireland",168,100,68
32,"Northern Ireland",183,97,88.659793814433
33,"Northern Ireland",189,104,81.7307692307692
34,"Northern Ireland",190,77,146.753246753247
35,"Northern Ireland",175,135,29.6296296296296
36,"Northern Ireland",168,121,38.8429752066116
37,"Northern Ireland",145,121,19.8347107438017
38,"Northern Ireland",206,113,82.3008849557522
39,"Northern Ireland",168,126,33.3333333333333
40,"Northern Ireland",179,145,23.448275862069
41,"Northern Ireland",162,121,33.8842975206612
42,"Northern Ireland",182,111,63.963963963964
43,"Northern Ireland",179,124,44.3548387096774
44,"Northern Ireland",140,74,89.1891891891892
45,"Northern Ireland",160,103,55.3398058252427
46,"Northern Ireland",153,127,20.4724409448819
47,"Northern Ireland",154,119,29.4117647058824
48,"Northern Ireland",166,182,-8.79120879120879
49,"Northern Ireland",141,113,24.7787610619469
50,"Northern Ireland",172,111,54.9549549549549
51,"Northern Ireland",112,84,33.3333333333333
52,"Northern Ireland",40,19,110.526315789474
53,"Northern Ireland",11,5,120
1,"Scotland",480,190,152.631578947368
2,"Scotland",710,445,59.5505617977528
3,"Scotland",652,426,53.0516431924883
4,"Scotland",714,432,65.2777777777778
5,"Scotland",743,448,65.8482142857143
6,"Scotland",765,484,58.0578512396694
7,"Scotland",789,449,75.7238307349666
8,"Scotland",789,621,27.0531400966184
9,"Scotland",771,472,63.3474576271186
10,"Scotland",730,506,44.2687747035573
11,"Scotland",771,551,39.9274047186933
12,"Scotland",749,513,46.0038986354776
13,"Scotland",871,556,56.6546762589928
14,"Scotland",765,522,46.551724137931
15,"Scotland",757,425,78.1176470588235
16,"Scotland",732,321,128.03738317757
17,"Scotland",731,513,42.495126705653
18,"Scotland",635,368,72.554347826087
19,"Scotland",796,521,52.7831094049904
20,"Scotland",667,366,82.2404371584699
21,"Scotland",709,497,42.6559356136821
22,"Scotland",570,487,17.0431211498973
23,"Scotland",695,437,59.0389016018307
24,"Scotland",606,464,30.6034482758621
25,"Scotland",603,423,42.5531914893617
26,"Scotland",645,462,39.6103896103896
27,"Scotland",592,386,53.3678756476684
28,"Scotland",512,426,20.18779342723
29,"Scotland",539,421,28.0285035629454
30,"Scotland",547,377,45.0928381962865
31,"Scotland",646,462,39.8268398268398
32,"Scotland",624,419,48.9260143198091
33,"Scotland",673,449,49.8886414253898
34,"Scotland",653,357,82.9131652661064
35,"Scotland",656,572,14.6853146853147
36,"Scotland",609,449,35.6347438752784
37,"Scotland",632,440,43.6363636363636
38,"Scotland",667,469,42.2174840085288
39,"Scotland",631,494,27.7327935222672
40,"Scotland",719,503,42.9423459244533
41,"Scotland",608,472,28.8135593220339
42,"Scotland",628,398,57.7889447236181
43,"Scotland",693,421,64.6080760095012
44,"Scotland",648,423,53.1914893617021
45,"Scotland",679,506,34.1897233201581
46,"Scotland",652,460,41.7391304347826
47,"Scotland",672,453,48.3443708609272
48,"Scotland",567,490,15.7142857142857
49,"Scotland",666,396,68.1818181818182
50,"Scotland",552,458,20.5240174672489
51,"Scotland",533,363,46.831955922865
52,"Scotland",272,146,86.3013698630137
53,"Scotland",58,40,45
1,"Wales",601,238,152.521008403361
2,"Wales",702,397,76.8261964735516
3,"Wales",850,416,104.326923076923
4,"Wales",740,445,66.2921348314607
5,"Wales",709,376,88.5638297872341
6,"Wales",780,468,66.6666666666667
7,"Wales",696,433,60.7390300230947
8,"Wales",819,400,104.75
9,"Wales",795,453,75.4966887417219
10,"Wales",687,532,29.1353383458647
11,"Wales",745,423,76.1229314420804
12,"Wales",825,506,63.0434782608696
13,"Wales",837,514,62.84046692607
14,"Wales",646,473,36.5750528541226
15,"Wales",744,466,59.656652360515
16,"Wales",648,254,155.11811023622
17,"Wales",695,399,74.1854636591479
18,"Wales",668,315,112.063492063492
19,"Wales",676,422,60.1895734597157
20,"Wales",815,400,103.75
21,"Wales",634,447,41.834451901566
22,"Wales",510,388,31.4432989690722
23,"Wales",606,409,48.1662591687042
24,"Wales",650,395,64.5569620253165
25,"Wales",581,399,45.6140350877193
26,"Wales",646,414,56.0386473429952
27,"Wales",685,439,56.0364464692483
28,"Wales",635,366,73.4972677595628
29,"Wales",712,350,103.428571428571
30,"Wales",603,404,49.2574257425743
31,"Wales",624,393,58.7786259541985
32,"Wales",627,442,41.8552036199095
33,"Wales",570,385,48.0519480519481
34,"Wales",612,311,96.7845659163987
35,"Wales",620,362,71.2707182320442
36,"Wales",589,441,33.5600907029479
37,"Wales",770,430,79.0697674418605
38,"Wales",646,409,57.9462102689487
39,"Wales",830,369,124.932249322493
40,"Wales",631,413,52.7845036319613
41,"Wales",602,517,16.4410058027079
42,"Wales",692,413,67.5544794188862
43,"Wales",635,406,56.4039408866995
44,"Wales",632,371,70.3504043126685
45,"Wales",743,368,101.902173913043
46,"Wales",672,410,63.9024390243902
47,"Wales",606,423,43.2624113475177
48,"Wales",654,391,67.2634271099744
49,"Wales",604,424,42.4528301886792
50,"Wales",573,367,56.1307901907357
51,"Wales",468,379,23.4828496042216
52,"Wales",235,127,85.0393700787402
53,"Wales",52,29,79.3103448275862
1,"London",3408,1026,232.163742690058
2,"London",3880,1602,142.197253433209
3,"London",4073,1635,149.113149847095
4,"London",3944,1716,129.83682983683
5,"London",3990,1569,154.302103250478
6,"London",4228,1880,124.893617021277
7,"London",3745,1622,130.887792848335
8,"London",4215,1605,162.616822429907
9,"London",4565,1784,155.885650224215
10,"London",4050,1860,117.741935483871
11,"London",3920,1737,125.676453655728
12,"London",4144,1808,129.203539823009
13,"London",4540,2025,124.197530864198
14,"London",3459,1741,98.6789201608271
15,"London",4181,2110,98.1516587677725
16,"London",4004,1138,251.845342706503
17,"London",4274,1714,149.358226371062
18,"London",3621,1388,160.878962536023
19,"London",3948,1817,117.281232801321
20,"London",4578,1869,144.943820224719
21,"London",3588,1466,144.74761255116
22,"London",3431,1681,104.104699583581
23,"London",3707,1664,122.776442307692
24,"London",3332,1801,85.0083287062743
25,"London",3525,1558,126.251604621309
26,"London",3740,1667,124.355128974205
27,"London",3384,1944,74.0740740740741
28,"London",3355,1701,97.2369194591417
29,"London",3339,1720,94.1279069767442
30,"London",3491,1544,126.10103626943
31,"London",3262,1701,91.7695473251029
32,"London",3488,1737,100.805987334485
33,"London",3386,1611,110.180012414649
34,"London",3254,1411,130.616583982991
35,"London",3287,1650,99.2121212121212
36,"London",3317,1636,102.750611246944
37,"London",3797,1816,109.0859030837
38,"London",3558,1833,94.1080196399345
39,"London",3912,1795,117.938718662953
40,"London",3555,1860,91.1290322580645
41,"London",3858,1946,98.2528263103803
42,"London",4959,1672,196.590909090909
43,"London",4245,1815,133.884297520661
44,"London",4114,1856,121.659482758621
45,"London",4418,1788,147.091722595078
46,"London",4538,1728,162.615740740741
47,"London",3834,2009,90.8412145345943
48,"London",3861,1928,100.259336099585
49,"London",4329,1866,131.993569131833
50,"London",3945,1683,134.402852049911
51,"London",3405,1911,78.1789638932496
52,"London",2053,668,207.335329341317
53,"London",379,155,144.516129032258
